id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-487667,2025-01-03,000001,Vente,1500000,27,,RUE DES ROSIERS,8370,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0071,,,10,93.54,45,,,,,,,,2,4,Local industriel. commercial ou assimilé,160,0,,,,,,2.358325,48.857555
2025-487677,2025-01-07,000001,Vente,790000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1043,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-487677,2025-01-07,000001,Vente,790000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1023,72.1,,,,,,,,,1,2,Appartement,24,2,,,,,,2.353699,48.858088
2025-487679,2025-01-07,000001,Vente,543800,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1042,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-487679,2025-01-07,000001,Vente,543800,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1028,45,,,,,,,,,1,2,Appartement,16,1,,,,,,2.353699,48.858088
2025-487728,2025-01-10,000001,Vente,1080000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1008,94.32,,,,,,,,,1,2,Appartement,70,3,,,,,,2.353699,48.858088
2025-487728,2025-01-10,000001,Vente,1080000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1016,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-487730,2025-01-09,000001,Vente,2400000,34,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0086,,,122,,,,,,,,,,1,2,Appartement,85,4,,,,,,2.354439,48.859517
2025-487730,2025-01-09,000001,Vente,2400000,34,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0086,,,101,,109,,119,,,,,,3,4,Local industriel. commercial ou assimilé,135,0,,,,,,2.354439,48.859517
2025-487755,2025-01-09,000001,Vente,4800000,18,,QUAI DE BETHUNE,0940,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0041,,,101,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.358298,48.850704
2025-487755,2025-01-09,000001,Vente,4800000,18,,QUAI DE BETHUNE,0940,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0041,,,162,,166,,,,,,,,2,2,Appartement,184,6,,,,,,2.358298,48.850704
2025-487755,2025-01-09,000001,Vente,4800000,18,,QUAI DE BETHUNE,0940,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0041,,,159,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.358298,48.850704
2025-487758,2025-01-07,000001,Vente,1450000,25,,RUE DE LA CERISAIE,1649,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0048,,,13,89.15,30,,,,,,,,2,3,Dépendance,,0,,,,,,2.364529,48.852127
2025-487758,2025-01-07,000001,Vente,1450000,25,,RUE DE LA CERISAIE,1649,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0048,,,13,89.15,30,,,,,,,,2,2,Appartement,100,4,,,,,,2.364529,48.852127
2025-487773,2025-01-16,000001,Vente,310500,20,,RUE FERDINAND DUVAL,3583,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0043,,,2,25.3,,,,,,,,,1,4,Local industriel. commercial ou assimilé,25,0,,,,,,2.360006,48.856598
2025-487777,2025-01-09,000001,Vente,475000,3,,RUE DE TURENNE,9506,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0074,,,19,34.68,,,,,,,,,1,2,Appartement,34,2,,,,,,2.363001,48.854959
2025-487804,2025-01-03,000001,Vente,235000,18,,PL DES VOSGES,9917,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0083,,,36,,,,,,,,,,1,2,Appartement,15,1,,,,,,2.366981,48.855593
2025-487822,2025-01-07,000001,Vente,769000,5,,BD MORLAND,6559,75004,75104,Paris 4e Arrondissement,75,,,75104000AS0045,,,14,,6,70.02,,,,,,,2,2,Appartement,71,3,,,,,,2.364796,48.847846
2025-487822,2025-01-07,000001,Vente,769000,5,,BD MORLAND,6559,75004,75104,Paris 4e Arrondissement,75,,,75104000AS0045,,,14,,6,70.02,,,,,,,2,3,Dépendance,,0,,,,,,2.364796,48.847846
2025-487840,2025-01-16,000001,Vente,1495000,11,,SQ STE CROIX DE LA BRETONNERI,8549,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0068,,,6,130,,,,,,,,,1,2,Appartement,142,6,,,,,,2.354207,48.858174
2025-487840,2025-01-16,000001,Vente,1495000,11,,SQ STE CROIX DE LA BRETONNERI,8549,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0068,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354207,48.858174
2025-487864,2025-01-17,000001,Vente,213000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1013,17.5,,,,,,,,,1,2,Appartement,23,2,,,,,,2.353699,48.858088
2025-487896,2025-01-13,000001,Vente,664000,7,,RUE SAINT MARTIN,8694,75004,75104,Paris 4e Arrondissement,75,,,75104000AC0056,,,12,58.15,,,,,,,,,1,2,Appartement,56,2,,,,,,2.349749,48.858673
2025-487909,2025-01-10,000001,Vente,83650,15,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0042,,,59,,,,,,,,,,1,2,Appartement,12,1,,,,,,2.354842,48.858384
2025-487910,2025-01-21,000001,Vente,700000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1047,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-487922,2025-01-15,000001,Vente,1335267,39,,RUE STE CROIX BRETONNERIE,8548,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0025,,,19,82.8,,,,,,,,,1,4,Local industriel. commercial ou assimilé,90,0,,,,,,2.353994,48.858505
2025-487979,2025-01-13,000001,Vente,438640,36,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0061,,,15,26.11,,,,,,,,,1,2,Appartement,26,2,,,,,,2.355956,48.858816
2025-488052,2025-01-24,000001,Vente,697800,27,,RUE VIEILLE DU TEMPLE,9783,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0064,,,38,,5,55.04,6,,,,,,3,2,Appartement,57,2,,,,,,2.357091,48.857396
2025-488061,2025-01-07,000001,Vente,450000,31,,RUE DU BOURG TIBOURG,1209,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0032,,,9,40.8,,,,,,,,,1,2,Appartement,36,2,,,,,,2.356274,48.85766
2025-488061,2025-01-07,000001,Vente,450000,31,,RUE DU BOURG TIBOURG,1209,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0032,,,9,40.8,,,,,,,,,1,3,Dépendance,,0,,,,,,2.356274,48.85766
2025-488093,2025-01-15,000001,Vente,1080000,52,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0021,,,10,67.95,,,,,,,,,1,2,Appartement,78,2,,,,,,2.364253,48.854302
2025-488093,2025-01-15,000001,Vente,1080000,52,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0021,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.364253,48.854302
2025-488132,2025-01-17,000001,Vente,988180,8,,IMP GUEMENEE,4365,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0059,,,2,,20,71.57,,,,,,,2,3,Dépendance,,0,,,,,,2.366052,48.854233
2025-488132,2025-01-17,000001,Vente,988180,8,,IMP GUEMENEE,4365,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0059,,,2,,20,71.57,,,,,,,2,2,Appartement,74,2,,,,,,2.366052,48.854233
2025-488235,2025-01-24,000001,Vente,225000,66,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0014,,,22,23.16,,,,,,,,,1,2,Appartement,26,1,,,,,,2.363491,48.854627
2025-488294,2025-01-20,000001,Vente,438000,15,,RUE MADAME DE SEVIGNE,8953,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0015,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.362259,48.856495
2025-488294,2025-01-20,000001,Vente,438000,15,,RUE MADAME DE SEVIGNE,8953,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0015,,,16,,17,,,,,,,,2,2,Appartement,41,2,,,,,,2.362259,48.856495
2025-488307,2025-01-16,000001,Vente,965000,14,,RUE DE BIRAGUE,0978,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0041,,,33,,34,,35,,,,,,3,2,Appartement,110,4,,,,,,2.365503,48.854416
2025-488326,2025-01-15,000001,Vente,658654,14,B,BD MORLAND,6559,75004,75104,Paris 4e Arrondissement,75,,,75104000AS0004,,,22,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.364477,48.849364
2025-488326,2025-01-15,000001,Vente,658654,14,B,BD MORLAND,6559,75004,75104,Paris 4e Arrondissement,75,,,75104000AS0004,,,6,54.91,,,,,,,,,1,2,Appartement,55,3,,,,,,2.364477,48.849364
2025-488341,2025-01-28,000001,Vente,1320000,44,,QUAI HENRI IV,4586,75004,75104,Paris 4e Arrondissement,75,,,75104000AT0010,,,15,105.26,5,,,,,,,,2,3,Dépendance,,0,,,,,,2.361751,48.850233
2025-488341,2025-01-28,000001,Vente,1320000,44,,QUAI HENRI IV,4586,75004,75104,Paris 4e Arrondissement,75,,,75104000AT0010,,,15,105.26,5,,,,,,,,2,2,Appartement,109,4,,,,,,2.361751,48.850233
2025-488411,2025-01-17,000001,Vente,322000,97,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AM0150,,,62,28.14,,,,,,,,,1,3,Dépendance,,0,,,,,,2.36171,48.854697
2025-488411,2025-01-17,000001,Vente,322000,97,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AM0150,,,62,28.14,,,,,,,,,1,2,Appartement,28,2,,,,,,2.36171,48.854697
2025-488413,2025-01-29,000001,Vente,735000,9,,RUE LE REGRATTIER,5599,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0108,,,25,38.06,32,,,,,,,,2,2,Appartement,41,2,,,,,,2.354354,48.85218
2025-488459,2025-01-09,000001,Vente,36000,23,,RUE DE TURENNE,9506,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0096,,,432,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363606,48.85626
2025-488469,2025-01-09,000001,Vente,370000,3,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0083,,,1,32.5,24,,32,,,,,,3,4,Local industriel. commercial ou assimilé,34,0,,,,,,2.362792,48.852361
2025-488482,2025-01-30,000001,Vente,930000,40,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0034,,,13,71.36,5,,,,,,,,2,3,Dépendance,,0,,,,,,2.353514,48.857972
2025-488482,2025-01-30,000001,Vente,930000,40,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0034,,,13,71.36,5,,,,,,,,2,2,Appartement,78,3,,,,,,2.353514,48.857972
2025-488491,2025-01-10,000001,Vente,940450,8,,RUE DE JARENTE,4831,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0097,,,197,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.362777,48.856037
2025-488491,2025-01-10,000001,Vente,940450,8,,RUE DE JARENTE,4831,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0097,,,172,51.71,180,,,,,,,,2,3,Dépendance,,0,,,,,,2.362777,48.856037
2025-488491,2025-01-10,000001,Vente,940450,8,,RUE DE JARENTE,4831,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0097,,,172,51.71,180,,,,,,,,2,2,Appartement,57,3,,,,,,2.362777,48.856037
2025-488517,2025-01-30,000001,Vente,380000,60,,RUE QUINCAMPOIX,7970,75004,75104,Paris 4e Arrondissement,75,,,75104000AB0024,,,10,28.95,,,,,,,,,1,2,Appartement,34,2,,,,,,2.351072,48.861445
2025-488522,2025-01-31,000001,Vente,180000,2,,RUE CARON,1565,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0079,,,13,18.41,,,,,,,,,1,2,Appartement,20,1,,,,,,2.362599,48.854897
2025-488567,2025-01-22,000001,Vente,8500000,3,B,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0047,,,31,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351778,48.853313
2025-488567,2025-01-22,000001,Vente,8500000,3,B,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0047,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351778,48.853313
2025-488567,2025-01-22,000001,Vente,8500000,3,B,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0047,,,4,,,,,,,,,,1,2,Appartement,290,6,,,,,,2.351778,48.853313
2025-488567,2025-01-22,000001,Vente,8500000,3,B,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0047,,,38,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351778,48.853313
2025-488567,2025-01-22,000001,Vente,8500000,3,B,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0047,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351778,48.853313
2025-488567,2025-01-22,000001,Vente,8500000,3,B,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0047,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351778,48.853313
2025-488567,2025-01-22,000001,Vente,8500000,3,B,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0047,,,16,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351778,48.853313
2025-488585,2025-02-05,000001,Vente,900000,40,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0034,,,3,,7,69.04,,,,,,,2,2,Appartement,70,3,,,,,,2.353514,48.857972
2025-488585,2025-02-05,000001,Vente,900000,40,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0034,,,3,,7,69.04,,,,,,,2,3,Dépendance,,0,,,,,,2.353514,48.857972
2025-488620,2025-01-20,000001,Vente,290000,2,B,RUE JACQUES COEUR,4790,75004,75104,Paris 4e Arrondissement,75,,,75104000AP0068,,,119,,124,23.79,,,,,,,2,3,Dépendance,,0,,,,,,2.36729,48.851915
2025-488620,2025-01-20,000001,Vente,290000,2,B,RUE JACQUES COEUR,4790,75004,75104,Paris 4e Arrondissement,75,,,75104000AP0068,,,119,,124,23.79,,,,,,,2,2,Appartement,24,2,,,,,,2.36729,48.851915
2025-488644,2025-02-03,000001,Vente,904400,17,,RUE FERDINAND DUVAL,3583,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0077,,,12,79.73,27,,,,,,,,2,2,Appartement,80,3,,,,,,2.359454,48.856823
2025-488644,2025-02-03,000001,Vente,904400,17,,RUE FERDINAND DUVAL,3583,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0077,,,12,79.73,27,,,,,,,,2,3,Dépendance,,0,,,,,,2.359454,48.856823
2025-488647,2025-01-30,000001,Vente,430000,83,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AD0025,,,119,,147,33.65,,,,,,,2,3,Dépendance,,0,,,,,,2.351147,48.858227
2025-488647,2025-01-30,000001,Vente,430000,83,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AD0025,,,119,,147,33.65,,,,,,,2,2,Appartement,39,1,,,,,,2.351147,48.858227
2025-488647,2025-01-30,000001,Vente,430000,83,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AD0025,,,45,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351147,48.858227
2025-488651,2025-02-05,000001,Vente,27000,3,,RUE DU PAS DE LA MULE,7078,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0173,,,154,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.367882,48.855599
2025-488659,2025-02-03,000001,Vente,420000,27,,RUE ST LOUIS EN L ILE,8678,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0004,,,2,19.68,38,,,,,,,,2,4,Local industriel. commercial ou assimilé,21,0,,,,,,2.356821,48.851481
2025-488739,2025-01-29,000001,Vente,30000,9,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0014,,,60,7.1,,,,,,,,,1,2,Appartement,15,1,,,,,,2.363252,48.85286
2025-488745,2025-01-29,000001,Vente,820000,9,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0014,,,59,,,,,,,,,,1,2,Appartement,15,1,,,,,,2.363252,48.85286
2025-488745,2025-01-29,000001,Vente,820000,9,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0014,,,12,36.84,,,,,,,,,1,2,Appartement,21,2,,,,,,2.363252,48.85286
2025-488745,2025-01-29,000001,Vente,820000,9,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0014,,,11,18.46,49,,,,,,,,2,2,Appartement,18,1,,,,,,2.363252,48.85286
2025-488790,2025-01-16,000001,Vente,387197,87,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AM0049,,,11,26.5,,,,,,,,,1,2,Appartement,25,1,,,,,,2.362396,48.854548
2025-488791,2025-01-15,000001,Vente,605740,87,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AM0049,,,19,36.3,,,,,,,,,1,2,Appartement,36,2,,,,,,2.362396,48.854548
2025-488801,2025-01-28,000001,Vente,45000,30,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AP0005,,,500,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.36543,48.852861
2025-488822,2025-02-07,000001,Vente,1157000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1010,89,,,,,,,,,1,2,Appartement,71,4,,,,,,2.353699,48.858088
2025-488822,2025-02-07,000001,Vente,1157000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1017,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-488823,2025-02-11,000001,Vente,901500,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1039,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-488838,2025-02-10,000001,Vente,1500000,13,,RUE D ARCOLE,0423,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0023,,,6,97.11,,,,,,,,,1,2,Appartement,100,5,,,,,,2.349865,48.854102
2025-488838,2025-02-10,000001,Vente,1500000,13,,RUE D ARCOLE,0423,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0023,,,6,97.11,,,,,,,,,1,3,Dépendance,,0,,,,,,2.349865,48.854102
2025-488864,2025-01-31,000001,Vente,305000,38,,RUE SAINT PAUL,8723,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0160,,,126,24.2,,,,,,,,,1,2,Appartement,25,1,,,,,,2.362916,48.854158
2025-488898,2025-02-06,000001,Vente,387000,4,,RUE LE REGRATTIER,5599,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0092,,,10,28.59,,,,,,,,,1,2,Appartement,30,1,,,,,,2.354574,48.851825
2025-488934,2025-02-06,000001,Vente,500000,22,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0046,,,33,,5,36.65,,,,,,,2,3,Dépendance,,0,,,,,,2.36417,48.852398
2025-488934,2025-02-06,000001,Vente,500000,22,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0046,,,33,,5,36.65,,,,,,,2,2,Appartement,36,2,,,,,,2.36417,48.852398
2025-488953,2025-01-24,000001,Vente,926170,23,,RUE DE TURENNE,9506,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0096,,,428,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363606,48.85626
2025-488953,2025-01-24,000001,Vente,926170,23,,RUE DE TURENNE,9506,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0096,,,145,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363606,48.85626
2025-488953,2025-01-24,000001,Vente,926170,23,,RUE DE TURENNE,9506,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0096,,,102,64.26,,,,,,,,,1,2,Appartement,65,2,,,,,,2.363606,48.85626
2025-488956,2025-02-04,000001,Vente,235900,15,,RUE MADAME DE SEVIGNE,8953,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0015,,,8,13.37,,,,,,,,,1,2,Appartement,15,1,,,,,,2.362259,48.856495
2025-488960,2025-01-28,000001,Vente,614400,26,,RUE DU ROI DE SICILE,8316,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0063,,,35,,,,,,,,,,1,2,Appartement,50,2,,,,,,2.358712,48.856351
2025-488971,2025-02-11,000001,Vente,907200,12,,RUE DES HOSPIT ST GERVAIS,4659,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0010,,,118,93.59,162,,203,93.59,,,,,3,2,Appartement,84,4,,,,,,2.359235,48.85804
2025-488971,2025-02-11,000001,Vente,907200,12,,RUE DES HOSPIT ST GERVAIS,4659,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0010,,,118,93.59,162,,203,93.59,,,,,3,3,Dépendance,,0,,,,,,2.359235,48.85804
2025-488974,2025-01-29,000001,Echange,10000,21,,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0007,,,6,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,7,0,,,,,,2.350696,48.854677
2025-488974,2025-01-29,000002,Echange,10000,21,,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0007,,,7,,,,,,,,,,1,2,Appartement,54,3,,,,,,2.350696,48.854677
2025-488974,2025-01-29,000002,Echange,10000,21,,QUAI AUX FLEURS,3671,75004,75104,Paris 4e Arrondissement,75,,,75104000AW0007,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.350696,48.854677
2025-488979,2025-02-13,000001,Vente,522000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1015,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-488980,2025-01-31,000001,Vente,1022000,24,,RUE ST LOUIS EN L ILE,8678,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0041,,,133,,135,,,,,,,,2,3,Dépendance,,0,,,,,,2.357856,48.851576
2025-488980,2025-01-31,000001,Vente,1022000,24,,RUE ST LOUIS EN L ILE,8678,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0041,,,133,,135,,147,64.62,155,,,,4,2,Appartement,82,3,,,,,,2.357856,48.851576
2025-488989,2025-02-11,000001,Vente,188000,2,,RUE BOUTAREL,1223,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0115,,,10,12.81,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353949,48.852186
2025-489019,2025-01-28,000001,Vente,1499000,11,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0036,,,10,101.99,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354321,48.857909
2025-489019,2025-01-28,000001,Vente,1499000,11,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0036,,,10,101.99,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354321,48.857909
2025-489019,2025-01-28,000001,Vente,1499000,11,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0036,,,10,101.99,,,,,,,,,1,2,Appartement,95,4,,,,,,2.354321,48.857909
2025-489023,2025-02-06,000001,Vente,255000,2,,RUE CARON,1565,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0079,,,13,,,,,,,,,,1,2,Appartement,20,1,,,,,,2.362599,48.854897
2025-489123,2025-02-13,000001,Vente,1340000,6,,RUE DE LESDIGUIERES,5616,75004,75104,Paris 4e Arrondissement,75,,,75104000AP0076,,,56,,57,,,,,,,,2,3,Dépendance,,0,,,,,,2.366812,48.852156
2025-489123,2025-02-13,000001,Vente,1340000,6,,RUE DE LESDIGUIERES,5616,75004,75104,Paris 4e Arrondissement,75,,,75104000AP0076,,,55,116.11,,,,,,,,,1,2,Appartement,116,4,,,,,,2.366812,48.852156
2025-489131,2025-02-05,000001,Vente,94000,15,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0042,,,68,11.52,,,,,,,,,1,2,Appartement,12,1,,,,,,2.354842,48.858384
2025-489133,2025-01-29,000001,Vente,900000,13,,RUE DE LA CERISAIE,1649,75004,75104,Paris 4e Arrondissement,75,,,75104000AR0005,,,33,,8,73.76,,,,,,,2,3,Dépendance,,0,,,,,,2.3658,48.851622
2025-489133,2025-01-29,000001,Vente,900000,13,,RUE DE LA CERISAIE,1649,75004,75104,Paris 4e Arrondissement,75,,,75104000AR0005,,,33,,8,73.76,,,,,,,2,2,Appartement,74,4,,,,,,2.3658,48.851622
2025-489134,2025-01-31,000001,Vente,712400,14,,RUE DU ROI DE SICILE,8316,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0050,,,12,53.79,,,,,,,,,1,3,Dépendance,,0,,,,,,2.359846,48.856044
2025-489134,2025-01-31,000001,Vente,712400,14,,RUE DU ROI DE SICILE,8316,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0050,,,12,53.79,,,,,,,,,1,2,Appartement,41,2,,,,,,2.359846,48.856044
2025-489139,2025-02-14,000001,Vente,2760000,32,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0059,,,36,170.38,,,,,,,,,1,2,Appartement,173,5,,,,,,2.355685,48.858576
2025-489139,2025-02-14,000001,Vente,2760000,32,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0059,,,79,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.355685,48.858576
2025-489139,2025-02-14,000001,Vente,2760000,32,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0059,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.355685,48.858576
