id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-495383,2025-01-06,000001,Vente,672150,245,,RUE DE BERCY,0881,75012,75112,Paris 12e Arrondissement,75,,,75112000EL0059,,,22,,57,71.38,,,,,,,2,2,Appartement,70,3,,,,,,2.368386,48.847059
2025-495383,2025-01-06,000001,Vente,672150,245,,RUE DE BERCY,0881,75012,75112,Paris 12e Arrondissement,75,,,75112000EL0059,,,109,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.368386,48.847059
2025-495391,2025-01-06,000001,Vente,5500,251,,RUE DE CHARENTON,1794,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0042,,,208,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392414,48.836459
2025-495392,2025-01-06,000001,Vente,430900,58,,RUE CROZATIER,2472,75012,75112,Paris 12e Arrondissement,75,,,75112000EY0032,,,16,,,,,,,,,,1,2,Appartement,46,2,,,,,,2.380199,48.849283
2025-495394,2025-01-03,000001,Vente,265000,11,,IMP TOURNEUX,9384,75012,75112,Paris 12e Arrondissement,75,,,75112000BX0068,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.398834,48.836978
2025-495394,2025-01-03,000001,Vente,265000,11,,IMP TOURNEUX,9384,75012,75112,Paris 12e Arrondissement,75,,,75112000BX0068,,,4,,,,,,,,,,1,2,Appartement,28,2,,,,,,2.398834,48.836978
2025-495396,2025-01-08,000001,Vente,30000,9,B,VLA DE SAINT MANDE,8683,75012,75112,Paris 12e Arrondissement,75,,,75112000CL0064,,,186,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.39965,48.845991
2025-495402,2025-01-07,000001,Vente,225000,58,,RUE CROZATIER,2472,75012,75112,Paris 12e Arrondissement,75,,,75112000EY0032,,,35,20.65,,,,,,,,,1,2,Appartement,21,1,,,,,,2.380199,48.849283
2025-495415,2025-01-06,000001,Vente,130000,78,,QUAI DE LA RAPEE,8037,75012,75112,Paris 12e Arrondissement,75,,,75112000EK0024,,,130,,63,17.09,,,,,,,2,2,Appartement,20,1,,,,,,2.370325,48.844588
2025-495427,2025-01-02,000001,Vente,270000,67,,BD DE REUILLY,8174,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0047,,,11,39.96,58,,,,,,,,2,3,Dépendance,,0,,,,,,2.399077,48.839991
2025-495427,2025-01-02,000001,Vente,270000,67,,BD DE REUILLY,8174,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0047,,,11,39.96,58,,,,,,,,2,2,Appartement,42,2,,,,,,2.399077,48.839991
2025-495429,2025-01-06,000001,Vente,688385,67,,BD SOULT,9047,75012,75112,Paris 12e Arrondissement,75,,,75112000AP0010,,,408,96.12,827,,,,,,,,2,2,Appartement,90,2,,,,,,2.408076,48.839605
2025-495446,2025-01-10,000001,Vente,382000,222,,AV DAUMESNIL,2584,75012,75112,Paris 12e Arrondissement,75,,,75112000BX0030,,,19,45.44,25,,,,,,,,2,3,Dépendance,,0,,,,,,2.400821,48.837315
2025-495446,2025-01-10,000001,Vente,382000,222,,AV DAUMESNIL,2584,75012,75112,Paris 12e Arrondissement,75,,,75112000BX0030,,,19,45.44,25,,,,,,,,2,2,Appartement,46,2,,,,,,2.400821,48.837315
2025-495450,2025-01-10,000001,Vente,120000,14,,PAS DU GENIE,4094,75012,75112,Paris 12e Arrondissement,75,,,75112000CR0013,,,12,15.14,,,,,,,,,1,2,Appartement,16,1,,,,,,2.389252,48.848604
2025-495458,2025-01-09,000001,Vente,234491,17,,RUE D AUSTERLITZ,0588,75012,75112,Paris 12e Arrondissement,75,,,75112000EN0022,,,16,20.43,,,,,,,,,1,2,Appartement,21,1,,,,,,2.370797,48.847232
2025-495461,2025-01-06,000001,Vente,35000,7,,RUE DU COLONEL OUDOT,2213,75012,75112,Paris 12e Arrondissement,75,,,75112000AT0025,,,26,7.82,,,,,,,,,1,3,Dépendance,,0,,,,,,2.40627,48.83701
2025-495481,2025-01-10,000001,Vente,256000,22,,RUE SIBUET,8968,75012,75112,Paris 12e Arrondissement,75,,,75112000AD0082,,,109,26.6,282,,,,,,,,2,3,Dépendance,,0,,,,,,2.402997,48.842606
2025-495481,2025-01-10,000001,Vente,256000,22,,RUE SIBUET,8968,75012,75112,Paris 12e Arrondissement,75,,,75112000AD0082,,,109,26.6,282,,,,,,,,2,2,Appartement,27,1,,,,,,2.402997,48.842606
2025-495482,2025-01-10,000001,Vente,348400,18,,RUE TAINE,9153,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0005,,,29,38.63,,,,,,,,,1,2,Appartement,39,2,,,,,,2.392858,48.837935
2025-495482,2025-01-10,000001,Vente,348400,18,,RUE TAINE,9153,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0005,,,29,38.63,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392858,48.837935
2025-495486,2025-01-03,000001,Vente,570000,10,,VLA DE SAINT MANDE,8683,75012,75112,Paris 12e Arrondissement,75,,,75112000CL0072,,,11,56.48,31,,,,,,,,2,2,Appartement,46,2,,,,,,2.400219,48.846009
2025-495486,2025-01-03,000001,Vente,570000,10,,VLA DE SAINT MANDE,8683,75012,75112,Paris 12e Arrondissement,75,,,75112000CL0072,,,11,56.48,31,,,,,,,,2,3,Dépendance,,0,,,,,,2.400219,48.846009
2025-495486,2025-01-03,000001,Vente,570000,10,,VLA DE SAINT MANDE,8683,75012,75112,Paris 12e Arrondissement,75,,,75112000CL0072,,,17,,,,,,,,,,1,2,Appartement,10,1,,,,,,2.400219,48.846009
2025-495491,2025-01-09,000001,Vente,220000,97,,RUE DE CHARENTON,1794,75012,75112,Paris 12e Arrondissement,75,,,75112000EW0006,,,25,,40,,,,,,,,2,2,Appartement,30,2,,,,,,2.377395,48.847714
2025-495497,2025-01-08,000001,Vente,18000,239,,AV DAUMESNIL,2584,75012,75112,Paris 12e Arrondissement,75,,,75112000BX0015,,,77,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.401205,48.838056
2025-495498,2025-01-08,000001,Vente,311000,11,,RUE GOSSEC,4235,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0092,,,151,,,,,,,,,,1,2,Appartement,32,2,,,,,,2.400526,48.838766
2025-495498,2025-01-08,000001,Vente,311000,11,,RUE GOSSEC,4235,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0092,,,114,41.79,,,,,,,,,1,2,Appartement,41,2,,,,,,2.400526,48.838766
2025-495498,2025-01-08,000001,Vente,311000,11,,RUE GOSSEC,4235,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0092,,,114,41.79,,,,,,,,,1,3,Dépendance,,0,,,,,,2.400526,48.838766
2025-495498,2025-01-08,000001,Vente,311000,11,,RUE GOSSEC,4235,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0092,,,151,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.400526,48.838766
2025-495516,2025-01-03,000001,Vente,300000,69,,AV LEDRU ROLLIN,5467,75012,75112,Paris 12e Arrondissement,75,,,75112000EV0019,,,15,36.61,22,,,,,,,,2,2,Appartement,36,2,,,,,,2.37377,48.849603
2025-495521,2025-01-10,000001,Vente,270000,82,,AV DAUMESNIL,2584,75012,75112,Paris 12e Arrondissement,75,,,75112000CW0042,,,110,28.73,12,,,,,,,,2,2,Appartement,26,1,,,,,,2.382135,48.843739
2025-495521,2025-01-10,000001,Vente,270000,82,,AV DAUMESNIL,2584,75012,75112,Paris 12e Arrondissement,75,,,75112000CW0042,,,110,28.73,12,,,,,,,,2,3,Dépendance,,0,,,,,,2.382135,48.843739
2025-495533,2025-01-14,000001,Vente,149800,98,,AV DE SAINT-MANDE,8682,75012,75112,Paris 12e Arrondissement,75,,,75112000AH0054,,,51,23.2,,,,,,,,,1,2,Appartement,21,1,,,,,,2.407606,48.844206
2025-495539,2025-01-07,000001,Vente,120000,118,,AV DU GAL MICHEL BIZOT,4075,75012,75112,Paris 12e Arrondissement,75,,,75112000AR0017,,,152,9.8,,,,,,,,,1,3,Dépendance,,0,,,,,,2.404629,48.839608
2025-495541,2025-01-03,000001,Vente,22000,36,,RUE DE WATTIGNIES,9952,75012,75112,Paris 12e Arrondissement,75,,,75112000BS0018,,,442,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.395907,48.835407
2025-495543,2025-01-06,000001,Vente,260684,1,,PAS STINVILLE,9096,75012,75112,Paris 12e Arrondissement,75,,,75112000CV0083,,,23,50,9,,,,,,,,2,2,Appartement,49,2,,,,,,2.388354,48.843958
2025-495544,2025-01-10,000001,Vente,490000,6,,RUE DU DOCTEUR GOUJON,2836,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0039,,,34,,7,55.85,,,,,,,2,2,Appartement,57,3,,,,,,2.398516,48.839979
2025-495544,2025-01-10,000001,Vente,490000,6,,RUE DU DOCTEUR GOUJON,2836,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0039,,,34,,7,55.85,,,,,,,2,3,Dépendance,,0,,,,,,2.398516,48.839979
2025-495546,2025-01-08,000001,Vente,268800,47,,AV DU DOC ARNOLD NETTER,2816,75012,75112,Paris 12e Arrondissement,75,,,75112000AC0065,,,774,30.83,775,,,,,,,,2,2,Appartement,31,1,,,,,,2.404375,48.844133
2025-495546,2025-01-08,000001,Vente,268800,47,,AV DU DOC ARNOLD NETTER,2816,75012,75112,Paris 12e Arrondissement,75,,,75112000AC0065,,,774,30.83,775,,,,,,,,2,3,Dépendance,,0,,,,,,2.404375,48.844133
2025-495546,2025-01-08,000001,Vente,268800,47,,AV DU DOC ARNOLD NETTER,2816,75012,75112,Paris 12e Arrondissement,75,,,75112000AC0065,,,127,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.404375,48.844133
2025-495556,2025-01-03,000001,Vente,285000,14,,BD DE REUILLY,8174,75012,75112,Paris 12e Arrondissement,75,,,75112000CB0084,,,61,37.3,,,,,,,,,1,2,Appartement,37,2,,,,,,2.390854,48.838763
2025-495556,2025-01-03,000001,Vente,285000,14,,BD DE REUILLY,8174,75012,75112,Paris 12e Arrondissement,75,,,75112000CB0084,,,61,37.3,,,,,,,,,1,3,Dépendance,,0,,,,,,2.390854,48.838763
